filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
_20250227182524_viewcapture15.png,HER2,0.4202,absent,,,,,False,38.0,0.9998233839632638,54.82437642000001,membrane completeness only; never 0/1+/2+/3+
_20250227182524_viewcapture16.png,HER2,0.4505,absent,,,,,False,50.0,0.9987641413637676,63.421953125,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture1.png,HER2,0.4386,absent,,,,,False,86.0,0.9959229599999864,54.82543859999999,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture10.png,HER2,0.8621,absent,,,,,False,348.0,0.9922810363194376,50.910324085,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture12.png,HER2,0.2521,absent,,,,,False,70.0,0.9966876491526476,37.30643866999999,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture2.png,HER2,0.2609,absent,,,,,False,21.0,0.9962379569306375,59.08372708000001,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture3.png,HER2,0.4511,absent,,,,,False,164.0,0.9962587525748704,60.23339816000001,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture4.png,HER2,0.2941,absent,,,,,False,22.0,0.9961415480779398,63.74667496999999,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture5.png,HER2,0.2857,absent,,,,,False,76.0,0.9970740337453456,73.91097569500002,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture6.png,HER2,0.2564,absent,,,,,False,16.0,0.996467740523694,73.16968848000002,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture7.png,HER2,0.2609,absent,,,,,False,42.0,0.9960554656275352,58.164798145000006,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture8.png,HER2,0.3448,absent,,,,,False,147.0,0.9973323696580908,62.89124416,membrane completeness only; never 0/1+/2+/3+
_20250227182536_viewcapture9.png,HER2,0.381,absent,,,,,False,193.0,0.9976551159257878,57.338595000000005,membrane completeness only; never 0/1+/2+/3+
_20250203150520_viewcapture64.png,Ki67,1.0101,marginal,468.0,53.0,35.906679918237394,11.324786324786324,True,,,,
_20250203150520_viewcapture65.png,Ki67,0.381,marginal,190.0,15.0,71.42815471059443,7.894736842105263,True,,,,
_20250203150533_viewcapture66.png,Ki67,0.9346,adequate,9615.0,724.0,572.9479049720385,7.529901196047842,True,,,,
_20250203150533_viewcapture67.png,Ki67,0.5882,marginal,837.0,101.0,201.78991451633627,12.066905615292711,True,,,,
_20250203150546_viewcapture69.png,Ki67,1.0526,marginal,832.0,76.0,47.4149158176183,9.134615384615383,True,,,,
_20250203153511_viewcapture70.png,Ki67,0.381,adequate,2057.0,178.0,847.6141025657206,8.653378706854644,True,,,,
_20250203153538_viewcapture71.png,Ki67,0.4918,adequate,1307.0,27.0,77.16401881751442,2.065799540933435,True,,,,
_20250204172838_viewcapture62.png,Ki67,0.566,adequate,3418.0,432.0,932.1354122888426,12.638970157987128,True,,,,
_20250204191949_viewcapture61.png,Ki67,0.4425,adequate,766.0,98.0,354.2455405814188,12.79373368146214,True,,,,
_20250205110921_viewcapture56.png,Ki67,0.6087,absent,163.0,74.0,138.82833558165763,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250205110933_viewcapture55.png,Ki67,0.6897,marginal,947.0,509.0,743.7899930268464,53.74868004223865,True,,,,
